105
C:\TrainingData\NTraning001.JPG
25, 79
35, 69
51, 78
35, 76
62.551, 74.5645
82.2763, 69.6387
91.0471, 78.3247
80.6999, 75.8372
31.3709, 82.8306
38, 80
45.322, 83.6121
38, 86
68.6557, 84.215
77, 79
84.1118, 83.045
78, 85
46, 106
69, 106
57, 105
58, 112
43.9153, 124.724
48, 122
52, 119
57, 120
62, 119
66, 121
70, 124
66, 129
58, 131
50, 129
58, 143
59, 153
44, 149
31, 138
25, 125
22, 113
20, 85
20, 79
28, 46
39, 41
57.4421, 38.222
77, 42
89, 50
97.911, 77.8513
99.6437, 84.8626
97.5136, 113.975
95, 129
86.9118, 139.117
71.8309, 147.991
38, 83
77, 82
C:\TrainingData\NTraning002.JPG
21, 75
29, 63
50.3206, 69.5281
32, 70
63, 72
86.061, 65.3123
96, 73
87, 72
30, 84
39, 79
46.8823, 84.2228
38.3085, 85.1974
68.5357, 84.1626
77, 80
84.1393, 83.4618
76.7646, 86.4457
47, 108
58, 106
70, 108
58, 113
41, 129
47, 126
51, 122
56, 123
62, 122
68, 125
71.8152, 128.745
66.3019, 131.926
59, 133
52, 132
60, 151
60, 159
42, 155
29.9428, 146.429
20, 131
16, 117
13, 86
14, 77
22, 40
38, 29
59, 25
81, 31
94, 42
104.868, 74.3624
104, 85
102, 119
97.1423, 129.544
85.0318, 146.145
74.2242, 154.883
39, 82
77.6241, 82.772
C:\TrainingData\NTraning003.JPG
25, 72
36, 66
49, 74
35, 71
67, 75
86, 66
94, 74
86, 71
29.7395, 82.1008
39, 79
46.7815, 83.4118
37.3361, 86.2017
68.7647, 83.3445
80.1597, 78.0672
84.6975, 81.9328
77.3697, 85.7647
47, 108
59, 104
70, 107
59, 113
41.2353, 126.941
48, 125
53.874, 122.639
59, 123
62, 122
66.9832, 123.647
73.4034, 125.899
66, 132
59, 134
50, 132
62, 145
61.3025, 151.782
42, 147
32, 142
23, 130
15, 111
12.395, 84.7227
13, 71.1429
20, 46
36, 35
54, 29
78, 33
95, 43
100, 75
101, 82
100, 112
96, 128
88, 138
78, 145
39, 82
78, 81
C:\TrainingData\NTraning004.JPG
24, 75
33, 67
47, 74
33, 73
67, 72
87, 67
93, 74
86, 74
30.5913, 82.1641
38, 79
44.3383, 84.8184
38, 86
70, 83
77.4985, 79.1648
84.9146, 83.2283
77.3176, 84.9193
45, 109
56, 107
67, 110
55.6749, 114.853
39.0633, 127.986
44.7463, 124.86
49.2053, 121.609
54.4256, 122.972
60, 122
65, 125
72, 128
64, 134
54.3036, 136.155
47.1693, 133.358
56, 151
55.086, 160.566
40, 157
28, 140
22, 129
16, 104
16, 84
16, 76
18.9434, 47.1488
33.1784, 37.0699
56.2933, 32.855
79.2274, 34.3946
95.3132, 46.3622
103.343, 76.4684
103, 84
101.669, 116.708
94.7243, 132.075
82.9249, 146.528
70.8563, 155.593
37.204, 82.021
76.796, 81.979
C:\TrainingData\NTraning005.JPG
21, 77
31, 69
47.2688, 75.0397
32, 73
68.8915, 72.829
89.1968, 69.2404
97, 78
88.2177, 72.8139
30, 84
37.2953, 78.8606
44, 83
36.2353, 86.0278
70, 84
78.2038, 78.4315
85.7394, 83.0953
78.0524, 85.1697
49, 107
60, 105
70, 108
60, 112
43.453, 124.842
50, 123
54, 121
58, 121
62, 121
65.9842, 122.202
70.865, 125.008
64.9445, 128.471
59, 130
52, 128
59, 142
59, 148
43, 145
31, 137
22, 127
18, 110
12, 86
12, 79
17, 44
33.8227, 33.3893
53, 28
74, 30
94, 41
103, 77
101, 85
98, 110
92.0183, 123.686
85.4265, 137.021
74, 145
37.2145, 82.4543
77.2246, 82.0051
C:\TrainingData\NTraning006.JPG
20.805, 73.0321
27.4352, 66.6605
47, 75
29, 71
65, 71
86.3559, 66.3024
94.0007, 73.5394
87, 70
28.8428, 84.3626
36, 80
44.7195, 83.1788
37, 86
69.947, 82.7013
79, 79
85.8237, 81.5175
79, 85
46, 104
57, 100
70, 105
58, 109
39.7406, 123.462
45, 121
50, 117
55, 119
59, 118
67, 119
72, 122
65, 127
57, 129
48, 128
56, 140
57, 147
39, 144
29, 137
22, 125
20, 119
16, 84
16, 74
25.9629, 42.2089
38, 33
58, 28
76, 32
94, 42
103, 73
102.755, 82.7113
103, 119
97.8903, 125.706
85, 138
75, 143
37.194, 82.2487
77.2487, 81.806
C:\TrainingData\NTraning007.JPG
25.0582, 74.5738
36, 68
51, 74
36, 73
65, 73
84, 67
88.4345, 71.8545
82, 71
31, 84
37, 79
45.1331, 82.7401
38, 86
70, 84
77.948, 78.7734
84.6923, 83.5385
76.8503, 85.6674
48, 102
61, 98
71, 101
61, 106
44.4511, 119.447
49.5239, 115.164
54, 112
59, 112
64, 112
69, 115
73, 120
68, 124
60, 124
52, 123
62, 136
63, 145
45, 141
31, 135
20, 123
16, 108
15, 86
15, 75
22, 48
36, 39
52, 34
74, 36
88, 45
95, 71
95, 84
96, 107
93, 120
90, 131
76, 140
38, 83
77, 82
C:\TrainingData\NTraning008.JPG
23.6667, 77.4167
36, 70
52, 75
36, 76
66, 75
83.25, 69.9167
92, 76
83, 75
29, 85
38, 79
44.5, 83.25
38, 86
70, 84
77, 79
83.25, 82.4167
77, 84
47, 106
60, 101
72, 106
60, 109
44, 125
50, 122
54, 117
59.9167, 117.833
65, 117
68.6667, 121.583
74.0833, 126.167
67.4167, 129.083
60, 132
50, 130
61, 143
60.75, 151.583
44, 149
27.4167, 141.583
18, 128
16, 121
13, 86
14, 79
21, 49
35, 40
54.9167, 38.6667
74.9167, 39.5
